company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
FSB,302.99M,0.74,1.59,11.77%,0.27%,2.72%
OOMA,284.92M,10.39,0.67,-12.40%,-12.84%,-61.18%
EROS,672.81M,0.72,1.03,-240.96%,-0.39%,-51.64%
SRPT,7.63B,9.32,1.85,-160.96%,-14.35%,-52.61%
WMGI,3.69B,4.14,0.71,-10.18%,0.50%,-8.20%
CIR,920.75M,2.45,2.62,-13.89%,2.33%,-5.38%
FLMN,184.87M,1.43,N/A,18.38%,6.33%,9.61%
INTL,696.79M,1.13,1.36,0.20%,0.98%,16.51%
GDDY,9.65B,12.50,0.87,5.44%,2.66%,23.84%
GEN,270.53M,N/A,1.32,0.32%,0.72%,N/A
AFIN,677.97M,0.40,N/A,0.60%,1.07%,0.11%
BLD,2.39B,2.07,1.30,7.67%,7.32%,17.85%
INSE,77.81M,N/A,1.25,-28.72%,-1.88%,N/A
CHMI,103.30M,0.35,1.17,0.00%,-2.97%,-17.59%
GWB,1.13B,0.59,1.27,-150.30%,-4.92%,-41.27%
MPW,9.03B,1.29,0.66,38.59%,3.43%,6.42%
RST,344.61M,N/A,0.50,-10.04%,-6.05%,N/A
CRD-A,363.91M,2.40,0.93,-0.50%,4.64%,-5.95%
FISI,290.29M,0.69,1.12,25.36%,0.88%,9.08%
CBMG,306.46M,5.50,1.64,0.00%,-31.83%,-75.83%
TYME,135.12M,56.23,N/A,0.00%,N/A,-364.52%
XEC,1.72B,0.48,2.31,-40.86%,6.77%,-27.56%
TCX,509.76M,5.41,1.04,4.51%,4.47%,17.26%
IHC,379.59M,0.82,0.74,2.07%,1.28%,1.75%
REI,44.79M,0.09,2.53,37.40%,6.99%,13.24%
GSIT,161.18M,1.75,1.03,-23.85%,-6.47%,-11.31%
TWST,1.25B,12.15,N/A,-222.66%,-33.70%,-77.17%
BSVN,73.56M,0.73,N/A,18.53%,0.93%,8.53%
FPRX,80.19M,0.53,2.78,0.00%,-28.44%,-66.11%
UGI,5.58B,1.40,0.96,5.69%,3.42%,6.19%
ISBC,1.98B,0.75,1.17,26.87%,0.70%,6.73%
CSTE,363.62M,0.75,1.01,2.93%,3.54%,3.37%
GNK,268.37M,0.27,0.80,-42.74%,0.02%,-17.77%
RYTM,671.03M,2.39,0.93,0.00%,-36.08%,-61.62%
STC,631.54M,0.85,0.99,4.57%,6.61%,14.47%
FICO,8.95B,37.14,1.16,18.92%,12.44%,100.49%
KMT,1.54B,1.18,2.38,3.10%,4.63%,4.99%
URBN,1.70B,1.17,1.29,-0.08%,0.69%,-0.21%
PAYS,247.29M,14.97,1.82,21.39%,7.04%,50.77%
MAN,3.08B,1.12,2.04,2.03%,4.74%,15.65%
ATNI,938.13M,1.39,0.19,-2.29%,1.40%,0.45%
FND,3.28B,4.30,2.01,7.39%,4.77%,21.97%
SAM,4.44B,6.04,0.79,7.87%,9.84%,16.76%
CC,1.46B,2.11,2.38,-0.84%,0.83%,-6.23%
FCBC,412.20M,0.96,0.64,31.68%,1.49%,9.95%
SVMK,1.87B,6.18,N/A,-24.56%,-5.92%,-29.62%
OLP,269.96M,0.93,1.29,26.01%,2.81%,7.68%
DVAX,309.22M,37.30,1.01,0.00%,-22.13%,-456.59%
ICFI,1.29B,1.81,0.63,4.30%,3.98%,9.49%
FLOW,1.21B,1.41,1.90,-8.43%,2.83%,4.71%
CHAP,22.52M,0.05,2.98,-162.22%,7.36%,-59.85%
MRNS,176.13M,2.96,2.10,0.00%,-49.64%,-93.46%
KEM,1.41B,2.05,1.88,3.28%,8.73%,6.43%
MRKR,88.35M,2.01,0.63,0.00%,-28.88%,-47.51%
ELY,961.78M,1.25,1.97,3.67%,3.07%,7.89%
NWFL,169.03M,1.23,0.44,31.79%,1.15%,10.49%
BG,5.83B,1.12,0.83,-3.74%,2.19%,-25.37%
EGHT,1.42B,6.52,1.02,-38.63%,-15.84%,-78.33%
BRG,134.19M,2.28,1.00,16.71%,1.26%,3.62%
JAZZ,5.52B,1.78,1.22,12.81%,7.82%,10.12%
RUBY,357.91M,1.31,N/A,0.00%,-29.13%,-59.12%
VOYA,5.11B,0.54,1.44,-6.94%,0.34%,7.99%
AOBC,518.74M,1.16,0.60,2.38%,2.64%,3.34%
BDC,1.62B,1.69,1.80,-19.74%,3.99%,8.12%
CRBP,379.85M,61.69,1.40,-207.87%,-60.37%,-230.41%
TER,8.99B,6.07,1.36,21.34%,14.49%,35.39%
WTFC,1.89B,0.53,1.61,23.58%,0.93%,9.31%
MDP,554.06M,0.60,1.72,-8.39%,4.14%,-16.09%
WTM,2.85B,0.87,0.54,0.32%,-0.38%,-1.22%
GTS,335.66M,0.36,0.74,0.94%,1.13%,3.55%
CCB,125.38M,1.01,N/A,26.79%,1.14%,10.95%
TWIN,93.57M,0.55,1.33,-14.96%,0.53%,-23.41%
ALBO,245.19M,2.63,1.83,0.00%,-24.92%,-68.99%
ARNA,2.11B,1.97,1.33,0.00%,-17.90%,-28.92%
ADC,2.91B,1.72,0.33,41.29%,2.70%,5.49%
GBX,789.81M,0.62,1.64,2.27%,4.44%,8.19%
SNR,212.17M,0.90,1.75,5.52%,1.54%,2.48%
TZOO,122.83M,9.91,1.78,3.73%,12.08%,33.34%
OEC,451.23M,2.43,1.83,6.02%,7.49%,51.25%
AXSM,2.18B,12.20,3.31,0.00%,-40.84%,-103.95%
LADR,571.15M,0.39,2.44,33.71%,1.42%,6.26%
QADA,1.00B,8.98,1.01,-5.13%,-1.11%,-12.79%
ALG,1.04B,1.83,0.95,5.39%,6.13%,11.68%
JBT,2.35B,4.13,1.36,6.96%,7.67%,26.47%
CMRX,88.91M,0.81,1.80,0.00%,-16.32%,-79.37%
ESSA,154.11M,0.79,0.29,24.87%,0.72%,7.19%
AJX,145.78M,0.41,1.61,49.49%,1.93%,8.78%
BCEI,232.37M,0.25,2.20,50.70%,8.33%,16.28%
ORGO,340.31M,6.12,N/A,-15.48%,-10.53%,-112.83%
PTSI,176.67M,1.32,1.90,-0.33%,1.71%,-1.22%
CSGP,21.57B,6.33,1.12,20.68%,5.25%,9.18%
FCCY,135.17M,0.79,0.59,24.42%,0.98%,8.98%
POWL,298.13M,0.99,1.29,3.83%,3.59%,7.37%
CMPR,1.38B,N/A,1.17,5.85%,7.14%,N/A
TLYS,252.27M,1.39,1.83,3.65%,4.28%,14.00%
WSFS,1.26B,0.68,1.36,24.82%,1.19%,8.03%
RRBI,272.54M,1.08,N/A,32.38%,1.32%,11.10%
VNDA,560.81M,1.36,0.47,49.12%,3.69%,33.58%
TELL,230.91M,1.39,3.52,0.00%,-23.75%,-74.66%
HDS,6.61B,4.97,1.14,7.35%,10.28%,34.26%
MJCO,355.28M,3.59,0.56,5.23%,4.62%,9.54%
PKE,285.41M,1.77,0.77,15.92%,3.72%,6.79%
PETS,580.39M,4.54,0.75,9.10%,12.50%,19.53%
CSFL,2.14B,0.74,0.92,28.39%,1.39%,8.88%
JRVR,1.11B,1.42,0.47,-2.64%,-0.05%,-2.88%
FGBI,140.57M,0.85,0.49,21.61%,0.72%,9.23%
HMHC,235.76M,0.42,1.27,-31.92%,-3.14%,-100.94%
PRTK,133.48M,N/A,1.51,0.00%,-26.15%,N/A
SFE,114.60M,1.13,1.43,0.00%,-4.16%,19.34%
FOCS,1.60B,3.31,N/A,1.87%,2.96%,3.03%
BPFH,584.87M,0.71,1.14,19.80%,0.71%,7.67%
LEE,82.55M,N/A,1.38,1.86%,8.45%,N/A
LASR,402.43M,1.86,2.65,-10.75%,-3.72%,-8.86%
HTZ,879.29M,0.47,1.63,-2.78%,1.34%,-20.75%
SONM,14.47M,0.57,N/A,-29.93%,-25.76%,-369.37%
SGRY,331.91M,0.48,3.46,-4.43%,3.03%,1.95%
TR,2.32B,1.90,0.00,12.85%,5.47%,9.08%
KAMN,1.07B,1.30,0.98,24.42%,3.52%,6.98%
CODA,67.44M,2.20,1.61,20.53%,11.78%,18.36%
BRC,2.95B,3.37,0.73,12.40%,9.13%,16.73%
AA,1.15B,0.28,2.24,-8.38%,2.54%,-10.18%
MCRI,510.09M,1.49,1.44,11.11%,3.86%,8.20%
MR,80.56M,0.08,4.00,7.77%,4.18%,5.63%
HUBB,6.24B,3.20,1.29,8.78%,7.78%,21.80%
BXMT,2.52B,0.67,1.31,59.33%,1.12%,4.97%
BF-B,31.76B,16.65,0.76,25.25%,12.98%,49.06%
CHS,461.43M,0.85,1.17,-0.63%,0.11%,-2.30%
OVBC,143.53M,1.12,0.09,20.37%,0.93%,7.75%
CMC,2.17B,1.28,1.38,5.30%,8.79%,19.09%
CHDN,4.06B,7.98,1.07,7.78%,4.30%,23.55%
NCBS,571.26M,1.10,0.74,32.38%,1.63%,12.14%
KFY,2.26B,1.80,1.45,7.87%,5.85%,12.74%
EME,3.36B,1.63,1.02,3.53%,6.46%,17.11%
EVBG,3.65B,16.58,0.41,-29.27%,-5.32%,-30.39%
NXGN,1.06B,2.70,0.98,2.91%,2.75%,4.10%
SEAS,860.49M,4.08,2.11,5.26%,6.11%,38.60%
SHSP,69.85M,2.42,1.53,-42.91%,-15.41%,-42.23%
LSXMK,11.17B,0.93,1.30,8.08%,3.29%,5.55%
SMHI,100.86M,0.22,1.34,-41.97%,-2.02%,-16.23%
SAIC,5.09B,3.69,1.05,3.54%,5.63%,15.65%
ST,4.54B,1.76,1.67,6.14%,5.03%,8.08%
APAM,1.72B,12.70,2.05,19.61%,19.86%,169.59%
TBPH,1.46B,N/A,1.53,-280.80%,-27.57%,N/A
WSO,6.04B,4.21,0.62,4.98%,8.70%,17.56%
AR,191.72M,0.03,4.81,-46.29%,-2.63%,-22.27%
MMAC,140.96M,0.50,0.70,171.70%,6.19%,38.78%
OVLY,129.33M,1.15,0.34,26.75%,1.09%,11.17%
MCS,382.61M,0.62,1.30,2.69%,2.40%,3.48%
PJT,1.68B,33.28,0.80,6.02%,11.53%,17.27%
RUTH,184.48M,1.96,2.04,5.36%,5.38%,28.34%
SCL,1.99B,2.23,0.99,5.81%,5.33%,12.43%
ENTA,1.03B,2.13,0.49,13.46%,1.43%,5.13%
PETQ,658.97M,2.33,1.68,-2.03%,1.80%,-5.84%
SHOO,3.59B,4.28,1.13,7.91%,9.86%,17.12%
TLRD,192.72M,N/A,1.81,-2.86%,3.78%,N/A
TWOU,1.35B,1.90,0.55,-43.60%,-11.48%,-40.53%
MTEM,606.66M,5.90,1.80,0.00%,-26.58%,-94.80%
UVSP,478.96M,0.71,1.04,23.94%,0.96%,7.83%
CLNE,360.95M,0.68,1.53,9.39%,2.04%,5.12%
BSIG,527.06M,8.18,1.70,25.78%,13.99%,163.81%
INVH,11.62B,1.41,0.86,9.81%,1.55%,2.18%
SGMO,740.69M,1.71,2.14,-89.31%,-11.73%,-26.59%
CSLT,108.12M,0.63,1.49,-58.42%,-10.33%,-55.37%
WDFC,2.36B,16.19,-0.10,12.70%,15.37%,35.05%
WWD,3.70B,2.06,1.46,9.48%,5.60%,15.42%
RPD,2.18B,26.27,1.10,-18.70%,-5.66%,-78.83%
PCYO,294.86M,3.66,0.48,36.00%,2.77%,13.62%
GTLS,1.04B,0.85,1.65,4.06%,3.54%,5.15%
MOFG,338.11M,0.66,1.07,20.99%,0.85%,7.95%
HEI,14.37B,9.89,1.08,17.68%,10.06%,21.44%
NNI,1.81B,0.76,0.51,6.12%,0.25%,2.57%
VHC,387.48M,68.85,0.84,94.62%,46.08%,178.79%
CULP,156.76M,0.97,0.81,0.76%,3.17%,-1.44%
FBNC,670.26M,0.79,1.31,32.56%,1.41%,10.66%
MRVL,16.12B,2.25,1.01,58.70%,-0.72%,19.82%
MTCH,18.76B,58.65,0.57,26.84%,16.78%,259.35%
CNS,2.17B,10.16,1.33,29.03%,25.87%,42.89%
VBIV,169.34M,1.92,1.35,0.00%,-22.33%,-60.28%
LQDA,133.62M,3.82,N/A,0.00%,-47.22%,-164.52%
AMSC,179.41M,2.34,0.81,-32.45%,-11.07%,-23.59%
STAR,817.60M,0.79,0.70,55.23%,1.54%,30.27%
LXP,2.53B,1.57,0.75,82.95%,2.06%,18.07%
AIMT,940.52M,9.04,0.99,0.00%,-45.81%,-114.24%
MTOR,957.98M,2.72,2.51,10.31%,6.18%,94.36%
OPTN,206.12M,3.35,0.88,-295.66%,-32.25%,-172.63%
MDCA,105.10M,N/A,0.70,-0.25%,3.41%,N/A
EIG,1.23B,1.06,0.15,9.48%,1.38%,6.61%
AMG,2.79B,0.95,1.58,9.12%,5.74%,11.11%
JYNT,151.18M,26.43,1.09,6.20%,5.03%,70.84%
TEN,292.53M,0.21,2.77,-6.28%,2.50%,-69.68%
SIGA,388.48M,3.96,0.38,-94.00%,-3.27%,-18.30%
CVCY,165.76M,0.71,0.78,29.25%,1.44%,10.24%
YGYI,134.46M,2.68,2.58,-16.05%,-14.15%,-85.18%
WTTR,336.61M,0.36,3.00,-20.23%,1.03%,-29.88%
CHH,3.39B,N/A,1.35,22.27%,14.16%,N/A
MVBF,152.32M,0.74,0.79,19.77%,1.26%,12.46%
KURA,452.03M,2.07,2.28,0.00%,-22.95%,-38.78%
MED,736.31M,7.02,1.15,10.41%,27.25%,64.98%
GBT,3.11B,5.38,1.96,0.00%,-28.66%,-53.86%
AMED,5.94B,9.28,0.88,6.43%,8.55%,21.37%
NWPX,217.78M,0.88,0.94,9.21%,5.38%,11.19%
HEES,527.31M,1.71,2.35,2.73%,5.76%,13.74%
USX,164.49M,0.72,N/A,-1.02%,0.49%,-7.41%
FORR,548.30M,3.47,0.94,0.69%,1.94%,2.14%
WSC,1.20B,1.86,1.86,-0.51%,3.21%,-0.75%
LBAI,546.06M,0.75,1.02,31.36%,1.01%,9.51%
PLNT,4.21B,N/A,1.19,15.96%,7.97%,N/A
HWBK,114.79M,1.00,0.38,23.54%,0.80%,11.12%
PRO,1.34B,8.14,1.43,-28.75%,-8.40%,-93.58%
SVRA,107.79M,1.06,1.40,0.00%,-25.26%,-86.17%
LNTH,507.21M,4.43,1.25,7.13%,7.35%,24.85%
STWD,2.89B,0.62,1.46,57.71%,0.53%,8.10%
VSAT,4.55B,2.28,1.17,0.03%,0.46%,0.73%
FLNT,89.16M,0.42,2.53,-0.81%,1.57%,-1.13%
DHIL,293.06M,1.52,1.00,29.09%,13.19%,16.85%
CVNA,8.37B,85.27,2.36,-3.54%,-12.06%,-560.72%
VKTX,339.59M,1.23,2.04,0.00%,-7.98%,-10.85%
SSTK,1.14B,3.49,1.27,2.61%,2.36%,5.43%
GEF,2.10B,2.11,1.15,3.61%,6.46%,15.97%
TNAV,204.28M,1.92,0.25,-1.61%,-0.77%,-4.48%
CRAI,259.14M,1.31,1.50,4.78%,4.24%,11.44%
LZB,1.41B,2.03,1.07,4.28%,6.86%,11.03%
CEVA,548.45M,2.18,1.36,1.22%,-0.04%,0.46%
RETA,4.80B,18.67,2.14,0.00%,-40.69%,-276.70%
RLGT,191.16M,1.44,1.35,1.32%,3.55%,8.41%
MFA,3.46B,1.02,1.52,80.82%,2.91%,11.12%
PUB,363.89M,1.09,0.88,37.25%,1.88%,13.90%
TBIO,598.49M,3.90,N/A,0.00%,-21.21%,-79.38%
OLLI,3.38B,3.35,1.25,10.02%,7.75%,14.10%
INFN,970.95M,2.51,1.02,-27.26%,-7.90%,-74.42%
MBUU,591.27M,2.62,2.00,10.25%,12.44%,35.56%
WOR,1.78B,2.08,1.18,2.96%,3.29%,11.53%
GMS,1.13B,1.62,1.98,2.51%,5.10%,12.15%
SIBN,339.45M,5.39,N/A,-60.51%,-14.96%,-42.03%
BMTC,571.38M,0.92,0.79,19.63%,0.78%,6.40%
CLW,360.43M,0.84,1.79,0.05%,1.56%,0.21%
RBB,273.86M,0.66,0.95,32.49%,1.16%,8.98%
CASS,506.78M,2.08,0.88,18.36%,1.52%,12.52%
MRTX,3.35B,8.76,1.82,0.00%,-32.85%,-55.12%
CWT,2.45B,3.14,0.00,7.07%,2.06%,6.87%
ANF,1.03B,1.04,1.35,1.09%,2.87%,3.93%
OLED,6.27B,7.72,1.60,33.74%,10.01%,18.55%
BERY,4.47B,2.50,1.33,3.86%,4.77%,26.08%
PANW,23.41B,15.44,1.14,-5.58%,-1.11%,-13.01%
HTBI,279.29M,0.65,0.67,20.88%,0.78%,6.69%
EQH,6.51B,0.51,1.80,21.75%,1.58%,25.66%
MOV,396.40M,0.76,0.51,6.09%,3.34%,8.22%
VVV,2.42B,N/A,1.50,9.39%,9.96%,N/A
FDBC,195.22M,1.81,0.05,27.70%,1.13%,10.87%
MATW,756.41M,1.06,1.18,-10.15%,2.13%,-21.40%
STRL,265.68M,1.21,1.26,3.44%,4.51%,21.83%
MSON,163.55M,1.28,1.28,-19.18%,-5.81%,-12.60%
CRS,932.18M,0.58,2.19,7.08%,4.55%,10.63%
AMRX,1.08B,4.49,1.52,-11.85%,1.35%,-58.78%
RVI,242.75M,0.35,N/A,15.30%,2.11%,3.82%
PLMR,1.41B,6.45,N/A,28.53%,8.72%,20.29%
EQBK,262.18M,0.55,0.92,22.13%,0.77%,6.64%
GNTY,262.23M,0.98,0.51,28.14%,1.16%,10.80%
HTBK,456.74M,0.79,1.18,22.33%,0.84%,6.35%
NCSM,30.18M,0.21,2.37,-34.95%,0.19%,-44.21%
LEGH,229.05M,1.01,N/A,18.11%,8.96%,14.12%
RM,152.65M,0.50,1.44,8.39%,6.29%,11.24%
NWBI,1.24B,0.91,0.62,22.14%,0.89%,7.02%
OCX,153.09M,4.96,2.85,0.00%,-32.46%,-70.29%
MOH,8.24B,4.21,0.69,4.30%,8.87%,41.18%
LEVL,139.22M,0.82,0.88,24.52%,0.99%,10.10%
STNG,1.12B,0.57,1.04,-2.14%,2.01%,-0.84%
MRNA,11.08B,9.44,N/A,0.00%,-17.26%,-32.76%
RBNC,135.42M,0.61,1.17,17.71%,0.36%,3.14%
ATUS,13.44B,5.92,0.95,1.66%,3.52%,7.11%
PRTH,130.10M,N/A,N/A,-8.66%,1.22%,N/A
AN,2.45B,0.77,1.46,0.60%,4.45%,4.49%
PRNB,1.96B,5.46,N/A,-242.01%,-18.01%,-29.61%
UE,1.04B,1.07,1.56,34.80%,2.36%,13.93%
HY,672.82M,1.24,1.22,1.47%,N/A,N/A
AYX,6.27B,14.76,1.32,1.28%,1.55%,1.53%
DSSI,471.15M,0.40,N/A,5.35%,3.06%,2.95%
IIPR,1.29B,2.42,1.36,53.76%,2.81%,5.62%
VRA,322.29M,1.10,1.61,3.24%,4.44%,4.85%
AMAG,211.77M,0.74,0.97,-115.05%,-7.89%,-83.98%
LAZ,2.46B,4.04,1.79,10.22%,4.90%,39.00%
I,991.93M,N/A,1.38,-44.32%,4.03%,N/A
ATRA,501.58M,1.72,2.12,0.00%,-60.57%,-111.12%
LYFT,8.24B,2.89,N/A,-49.05%,-27.79%,-97.28%
MRLN,132.75M,0.62,1.01,11.77%,0.81%,5.20%
RMNI,278.14M,N/A,0.25,3.34%,9.07%,N/A
BMCH,1.19B,1.21,1.56,3.00%,5.40%,11.84%
GVA,1.50B,1.24,1.48,-3.11%,-2.76%,-6.95%
WRTC,127.99M,6.67,N/A,0.00%,-37.89%,-62.83%
CHRS,1.15B,10.93,2.04,33.42%,31.67%,244.88%
NVEC,251.57M,3.14,1.35,57.16%,11.89%,18.07%
AMSF,1.24B,2.89,0.41,23.73%,4.26%,19.39%
EFSC,742.87M,0.84,1.32,32.42%,1.24%,10.88%
NVRO,3.20B,14.80,0.91,-21.36%,-10.52%,-39.38%
PKBK,159.85M,0.90,0.90,50.69%,1.81%,17.62%
WVE,324.22M,5.09,-0.07,0.00%,-39.92%,-168.70%
APOG,800.27M,1.55,1.43,4.46%,4.14%,12.22%
OCUL,262.54M,N/A,1.57,0.00%,-59.33%,"-1,211.02%"
GFN,191.10M,1.25,1.19,3.53%,5.26%,7.37%
TECH,7.23B,5.46,1.10,24.77%,5.22%,15.34%
IPAR,1.46B,3.12,0.91,7.56%,6.94%,10.75%
FFIN,3.82B,3.09,0.95,40.81%,1.86%,12.44%
SFBS,1.57B,1.87,1.32,51.36%,1.69%,18.31%
CWEN-A,3.55B,1.85,1.13,-1.86%,2.25%,-7.08%
RDUS,600.83M,N/A,1.16,-66.82%,-28.40%,N/A
TYL,11.79B,7.29,0.72,14.94%,4.75%,10.86%
STLD,4.74B,1.16,1.44,6.40%,7.47%,16.40%
RRTS,348.78M,2.75,1.61,-18.45%,-10.48%,"-18,544.30%"
VREX,874.34M,1.95,1.39,0.44%,2.53%,0.86%
NTB,902.59M,0.91,1.72,31.24%,1.33%,17.61%
FARO,788.46M,2.37,1.53,-20.98%,-1.75%,-22.25%
SAMG,136.05M,2.09,0.71,11.55%,8.53%,23.61%
TTGT,567.37M,3.71,0.82,11.66%,6.62%,11.26%
CVIA,268.76M,0.19,N/A,-80.86%,-2.14%,-158.07%
AXTA,4.06B,3.00,1.56,5.93%,5.47%,19.91%
PK,1.86B,0.29,2.10,-17.29%,2.04%,-8.42%
DMRC,164.55M,3.34,1.03,-141.54%,-39.33%,-71.90%
MOBL,438.41M,12.18,1.57,-21.47%,-12.32%,-104.50%
RDI,274.16M,1.53,1.56,-9.55%,1.02%,-16.58%
IONS,6.59B,4.48,1.69,16.84%,3.91%,10.41%
SCI,7.01B,3.84,0.71,11.50%,3.04%,21.59%
CVI,1.66B,1.19,2.00,3.20%,4.41%,10.11%
SWM,867.80M,1.45,1.38,8.86%,5.55%,15.75%
BATRK,984.74M,2.58,1.03,9.87%,-1.33%,11.79%
NC,196.46M,0.68,0.70,22.22%,-5.37%,11.03%
EEX,185.03M,0.29,1.54,-200.06%,1.27%,-161.71%
KALA,479.81M,16.16,0.25,0.00%,-23.13%,-81.22%
DOOR,1.16B,1.86,1.70,3.22%,5.98%,12.45%
CPS,173.40M,0.20,2.16,-1.30%,-0.39%,-5.67%
HR,3.77B,1.98,0.57,8.00%,1.38%,2.11%
MITT,504.88M,0.90,1.83,73.88%,2.47%,12.94%
PTLA,559.59M,4.31,1.75,-232.73%,-30.59%,-462.25%
MAC,797.05M,0.30,1.84,9.91%,1.74%,3.53%
POL,1.73B,1.65,1.83,20.65%,4.27%,8.19%
SLGN,3.22B,3.14,0.70,4.55%,5.17%,21.31%
ALLO,2.43B,3.87,N/A,0.00%,-19.41%,-32.22%
BWFG,120.12M,0.66,0.78,26.67%,0.73%,8.35%
JBGS,4.29B,1.25,0.77,13.01%,0.39%,2.48%
AKCA,1.45B,2.67,1.32,-8.59%,-4.10%,-6.51%
MINI,1.16B,1.38,1.50,12.08%,4.93%,8.97%
IPI,103.71M,0.24,1.85,0.05%,1.19%,0.02%
ACER,20.09M,1.09,1.56,0.00%,-55.09%,-101.78%
JJSF,2.29B,2.71,0.58,6.81%,6.33%,10.05%
HCSG,1.78B,3.87,0.62,4.17%,8.77%,17.17%
NG,2.61B,19.01,0.54,0.00%,-4.21%,-19.59%
PCTY,4.74B,14.29,1.64,12.66%,2.04%,21.12%
CZNC,275.26M,1.13,0.33,25.14%,1.27%,8.20%
MYE,384.38M,2.31,1.47,6.87%,6.83%,20.50%
TECD,5.10B,1.72,0.93,1.01%,2.89%,12.37%
EPZM,1.57B,5.34,2.05,0.00%,-28.56%,-54.16%
DEA,1.85B,1.74,0.48,4.06%,1.17%,0.91%
GGG,8.21B,8.01,0.55,20.43%,14.47%,35.42%
ECOL,957.69M,0.95,0.93,-34.33%,3.58%,-52.51%
SWX,3.83B,1.53,0.29,6.14%,2.90%,7.68%
SMAR,5.73B,10.87,1.63,-35.42%,-11.72%,-28.17%
EXPI,555.14M,10.93,2.82,-0.28%,-1.70%,-7.14%
GTHX,415.86M,1.62,2.19,0.00%,-27.74%,-45.57%
OGE,6.15B,1.49,0.75,-4.85%,3.07%,-2.80%
CASI,205.87M,2.82,0.82,0.00%,-21.61%,-42.18%
EPR,1.90B,0.63,1.48,26.77%,3.11%,4.89%
FWRD,1.43B,2.43,1.18,5.38%,6.81%,13.77%
ACCO,476.96M,0.62,2.22,5.93%,4.86%,15.57%
MCHX,64.42M,0.65,1.93,-26.43%,-6.61%,-32.40%
ABCB,1.65B,0.67,1.52,19.88%,0.94%,7.16%
XXII,104.14M,1.68,1.37,-107.21%,-18.03%,-44.51%
TPIC,543.21M,2.54,1.56,-0.27%,2.50%,-2.03%
SRCE,827.79M,1.00,1.13,28.43%,1.32%,10.40%
WEX,4.55B,2.36,1.90,7.14%,3.27%,6.41%
ARVN,1.57B,6.88,N/A,-171.74%,-15.76%,-45.74%
CBAN,118.73M,0.91,0.66,13.98%,0.64%,7.57%
CR,2.85B,1.93,1.52,3.50%,6.44%,7.59%
DPZ,12.65B,N/A,0.36,11.75%,31.68%,N/A
FNWB,113.41M,0.64,0.80,17.40%,0.57%,4.51%
IBP,1.18B,4.73,1.68,4.81%,8.59%,34.52%
BY,398.03M,0.54,1.58,19.69%,0.88%,6.62%
NGM,837.66M,2.53,N/A,-52.41%,-12.80%,-21.68%
CSGS,1.38B,3.49,0.91,8.52%,7.00%,22.54%
FMBH,396.43M,0.75,0.83,26.22%,1.15%,8.66%
TESS,41.80M,0.43,1.29,-3.99%,-4.81%,-22.41%
BV,1.16B,0.90,N/A,0.98%,2.48%,1.91%
TBK,626.63M,0.98,1.25,14.30%,0.80%,6.36%
ENZ,119.37M,1.52,0.80,1.92%,-17.32%,2.23%
DNOW,563.51M,0.49,1.84,-16.10%,0.36%,-44.31%
SMG,5.69B,9.10,0.92,9.50%,7.83%,42.48%
ARLO,187.99M,0.92,N/A,-22.25%,-19.33%,-40.90%
VRS,395.36M,0.39,2.00,5.01%,2.98%,11.37%
RRC,560.60M,0.24,2.70,-69.84%,-14.74%,-48.12%
SLM,2.70B,0.93,1.47,49.07%,2.63%,30.27%
ASH,3.03B,0.84,1.42,-3.05%,2.15%,-15.48%
SPSC,1.63B,4.59,0.80,12.71%,6.28%,10.62%
SRCL,4.44B,1.90,1.11,-10.08%,2.58%,-13.54%
MBIO,115.03M,2.23,1.53,0.00%,-50.03%,-130.94%
ASIX,267.08M,0.67,2.14,2.32%,2.84%,7.19%
ATEX,740.91M,2.82,0.36,0.00%,-9.09%,-15.99%
SCHL,1.11B,0.87,1.00,-0.77%,1.17%,-1.04%
LILA,1.89B,0.62,1.61,-5.68%,2.53%,-8.22%
RS,5.57B,1.07,1.12,5.41%,7.33%,11.86%
DAR,3.10B,1.21,1.24,11.24%,1.06%,15.60%
AMBA,2.00B,4.49,1.22,-19.58%,-6.24%,-10.33%
PRAH,5.28B,4.85,1.09,7.66%,6.18%,21.55%
TOL,5.76B,1.14,1.55,7.44%,3.87%,11.18%
GTYH,239.19M,0.73,0.07,-179.58%,-6.50%,-21.53%
MTDR,289.08M,0.16,4.76,23.74%,6.65%,13.56%
JACK,793.21M,N/A,1.67,5.64%,6.84%,N/A
BYD,1.60B,1.27,2.26,-1.11%,3.60%,-3.10%
GBCI,3.24B,1.65,1.04,31.31%,1.50%,11.10%
NCR,2.25B,2.04,1.75,7.99%,3.84%,43.45%
BE,654.54M,N/A,N/A,-34.65%,-4.64%,N/A
IOTS,257.28M,3.99,0.19,-22.73%,-5.62%,-44.20%
LIVN,2.20B,1.59,0.88,-9.55%,0.97%,-7.09%
CECE,165.03M,0.85,1.19,5.73%,2.88%,10.35%
MCFT,137.77M,1.57,2.27,-7.19%,12.67%,-46.95%
CPA,4.57B,2.32,1.51,8.81%,5.85%,12.06%
NATR,158.32M,1.23,0.65,2.17%,5.54%,6.45%
NINE,24.58M,0.06,3.22,-71.47%,-0.30%,-151.55%
VALU,317.69M,6.16,0.12,38.17%,5.64%,29.92%
MANH,3.16B,22.23,1.95,14.01%,19.76%,64.38%
CNOB,533.57M,0.73,1.33,36.41%,1.02%,8.83%
IAC,15.23B,5.20,1.14,2.69%,4.85%,6.95%
